common/job_number/__text,common/job_kind/__text,common/job_name/__text,common/job_result/__text,common/job_result_detail/__text,common/start_time/second/__text,common/start_time/minute/__text,common/start_time/hour/__text,common/start_time/day/__text,common/start_time/month/__text,common/start_time/year/__text,common/start_time/wday/__text,common/start_time/yday/__text,common/start_time/is_dst/__text,common/start_time/time_zone/__text,common/end_time/second/__text,common/end_time/minute/__text,common/end_time/hour/__text,common/end_time/day/__text,common/end_time/month/__text,common/end_time/year/__text,common/end_time/wday/__text,common/end_time/yday/__text,common/end_time/is_dst/__text,common/end_time/time_zone/__text,common/pages/__text,detail/print_color_mode/__text,detail/complete_copies/__text,detail/copies/__text,detail/complete_pages/__text,common/user_name/__text
34733,PRINTER,Ethics_HowTo_Bl 052417 084005238,OK,0,58,45,8,24,4,117,3,143,1,-0500,11,46,8,24,4,117,3,143,1,-0500,5,FULL_COLOR,1,1,5,rogelio.rodriguez
34732,PRINTER,Ethics_HowTo[1] 052417 083935769,OK,0,28,45,8,24,4,117,3,143,1,-0500,52,45,8,24,4,117,3,143,1,-0500,12,FULL_COLOR,1,1,12,rogelio.rodriguez
34731,PRINTER,Brittany_Landez 052417 082801227,OK,0,54,33,8,24,4,117,3,143,1,-0500,13,34,8,24,4,117,3,143,1,-0500,3,FULL_COLOR,1,1,3,brittany.lanez
34730,PRINTER,5280443_353_149 052417 082554127,OK,0,47,31,8,24,4,117,3,143,1,-0500,56,31,8,24,4,117,3,143,1,-0500,1,FULL_COLOR,1,1,1,brittany.lanez
34729,PRINTER,Cities Serving  052417 082405979,OK,0,59,29,8,24,4,117,3,143,1,-0500,9,30,8,24,4,117,3,143,1,-0500,1,FULL_COLOR,1,1,1,brittany.lanez
34727,COPY,doc03472720170524082525,OK,0,25,25,8,24,4,117,3,143,1,-0500,36,25,8,24,4,117,3,143,1,-0500,1,FULL_COLOR,1,1,1,
34724,PRINTER,Letter of recom 052417 080603874,OK,0,57,11,8,24,4,117,3,143,1,-0500,57,12,8,24,4,117,3,143,1,-0500,1,FULL_COLOR,1,1,1,brittany.lanez
34723,PRINTER,Full page photo 052317 173548562,OK,0,25,41,17,23,4,117,2,142,1,-0500,54,41,17,23,4,117,2,142,1,-0500,3,FULL_COLOR,1,1,3,rogelio.rodriguez
34722,COPY,doc03472220170523165952,OK,0,52,59,16,23,4,117,2,142,1,-0500,0,0,17,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,2,2,2,
34720,PRINTER,514greystone.pdf 052317 162646561,OK,0,24,32,16,23,4,117,2,142,1,-0500,39,32,16,23,4,117,2,142,1,-0500,6,FULL_COLOR,1,1,6,linda.coronado
34719,PRINTER,inspection_overview (2).pdf,OK,0,6,27,16,23,4,117,2,142,1,-0500,14,27,16,23,4,117,2,142,1,-0500,2,BLACK_AND_WHITE,1,1,2,anaisa.licerio
34717,COPY,doc03471720170523161834,OK,0,34,18,16,23,4,117,2,142,1,-0500,41,18,16,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,1,1,1,
34716,PRINTER,truman.pdf 052317 152945414,OK,0,25,35,15,23,4,117,2,142,1,-0500,37,35,15,23,4,117,2,142,1,-0500,2,FULL_COLOR,1,1,2,linda.coronado
34714,COPY,doc03471420170523143504,OK,0,4,35,14,23,4,117,2,142,1,-0500,10,35,14,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,1,1,1,
34713,COPY,doc03471320170523142650,OK,0,50,26,14,23,4,117,2,142,1,-0500,56,26,14,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,1,1,1,
34712,COPY,doc03471220170523142636,OK,0,36,26,14,23,4,117,2,142,1,-0500,42,26,14,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,1,1,1,
34711,PRINTER,HTHP_notices_20 052317 140706244,OK,0,48,12,14,23,4,117,2,142,1,-0500,18,13,14,23,4,117,2,142,1,-0500,17,FULL_COLOR,1,1,17,linda.coronado
34710,COPY,doc03471020170523140910,OK,0,10,9,14,23,4,117,2,142,1,-0500,37,9,14,23,4,117,2,142,1,-0500,6,FULL_COLOR,1,1,6,
34709,COPY,doc03470920170523140634,OK,0,34,6,14,23,4,117,2,142,1,-0500,41,6,14,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,1,1,1,
34708,COPY,doc03470820170523140518,OK,0,18,5,14,23,4,117,2,142,1,-0500,24,5,14,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,1,1,1,
34707,PRINTER,SOL BRILLA PH 5 052317 135424741,OK,0,7,0,14,23,4,117,2,142,1,-0500,13,0,14,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,1,1,1,brittany.lanez
34706,PRINTER,SOL BRILLA PH 3 052317 135323314,OK,0,5,59,13,23,4,117,2,142,1,-0500,12,59,13,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,1,1,1,brittany.lanez
34705,PRINTER,SOL BRILLA PH 2 052317 135204678,OK,0,47,57,13,23,4,117,2,142,1,-0500,54,57,13,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,1,1,1,brittany.lanez
34704,PRINTER,Microsoft Outlo 052317 134727573,OK,0,10,53,13,23,4,117,2,142,1,-0500,19,53,13,23,4,117,2,142,1,-0500,1,FULL_COLOR,1,1,1,rogelio.rodriguez
34703,COPY,doc03470320170523135215,OK,0,15,52,13,23,4,117,2,142,1,-0500,24,52,13,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,1,1,1,
34702,COPY,doc03470220170523134901,OK,0,1,49,13,23,4,117,2,142,1,-0500,9,49,13,23,4,117,2,142,1,-0500,1,FULL_COLOR,1,1,1,
34701,PRINTER,HTHP_notices_20 052317 133420309,OK,0,3,40,13,23,4,117,2,142,1,-0500,48,40,13,23,4,117,2,142,1,-0500,28,FULL_COLOR,1,1,28,linda.coronado
34700,COPY,doc03470020170523132558,OK,0,58,25,13,23,4,117,2,142,1,-0500,6,26,13,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,2,2,2,
34699,PRINTER,LET_ResponseToFDComments_20170516(3).pdf,OK,0,9,58,12,23,4,117,2,142,1,-0500,22,58,12,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,1,1,1,anaisa.licerio
34698,PRINTER,9750-SEALED SET 5-16-2017(2).pdf,OK,0,14,57,12,23,4,117,2,142,1,-0500,11,58,12,23,4,117,2,142,1,-0500,16,MIXED,1,1,16,anaisa.licerio
34697,COPY,doc03469720170523125431,OK,0,31,54,12,23,4,117,2,142,1,-0500,39,54,12,23,4,117,2,142,1,-0500,1,FULL_COLOR,1,1,1,
34696,COPY,doc03469620170523124201,OK,0,1,42,12,23,4,117,2,142,1,-0500,19,42,12,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,10,10,10,
34695,COPY,doc03469520170523121220,OK,0,20,12,12,23,4,117,2,142,1,-0500,28,12,12,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,2,2,2,
34694,COPY,doc03469420170523120342,OK,0,42,3,12,23,4,117,2,142,1,-0500,52,3,12,23,4,117,2,142,1,-0500,2,FULL_COLOR,1,1,2,
34692,PRINTER,https://app.myg 052317 113435452,OK,0,22,40,11,23,4,117,2,142,1,-0500,31,40,11,23,4,117,2,142,1,-0500,1,FULL_COLOR,1,1,1,linda.coronado
34690,PRINTER,https://app.myg 052317 113256466,OK,0,43,38,11,23,4,117,2,142,1,-0500,52,38,11,23,4,117,2,142,1,-0500,1,FULL_COLOR,1,1,1,linda.coronado
34673,PRINTER,TX-D-161115-07187-permit.pdf,OK,0,49,25,11,23,4,117,2,142,1,-0500,0,26,11,23,4,117,2,142,1,-0500,2,BLACK_AND_WHITE,2,2,4,anaisa.licerio
34672,PRINTER,TX-D-161115-07213-permit.pdf,OK,0,11,25,11,23,4,117,2,142,1,-0500,24,25,11,23,4,117,2,142,1,-0500,2,BLACK_AND_WHITE,2,2,4,anaisa.licerio
34671,PRINTER,TX-D-161115-07190-permit.pdf,OK,0,32,24,11,23,4,117,2,142,1,-0500,45,24,11,23,4,117,2,142,1,-0500,2,BLACK_AND_WHITE,2,2,4,anaisa.licerio
34670,COPY,doc03467020170523112406,OK,0,6,24,11,23,4,117,2,142,1,-0500,12,24,11,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,1,1,1,
34669,PRINTER,TX-D-161116-07282-permit.pdf,OK,0,51,23,11,23,4,117,2,142,1,-0500,2,24,11,23,4,117,2,142,1,-0500,2,BLACK_AND_WHITE,2,2,4,anaisa.licerio
34668,PRINTER,TX-D-161116-07278-permit.pdf,OK,0,10,23,11,23,4,117,2,142,1,-0500,23,23,11,23,4,117,2,142,1,-0500,2,BLACK_AND_WHITE,2,2,4,anaisa.licerio
34632,PRINTER,Building Permit 052317 102907277,OK,0,56,34,10,23,4,117,2,142,1,-0500,7,35,10,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,2,2,2,george.martinez
34631,PRINTER,TX-HOME-160817-05429-permit.pdf,OK,0,25,17,10,23,4,117,2,142,1,-0500,36,17,10,23,4,117,2,142,1,-0500,2,BLACK_AND_WHITE,2,2,4,anaisa.licerio
34624,PRINTER,CERTIFIED FOOD  052317 095952607,OK,0,42,5,10,23,4,117,2,142,1,-0500,9,6,10,23,4,117,2,142,1,-0500,1,FULL_COLOR,15,15,15,linda.coronado
34623,PRINTER,Monthly Fees Co 052317 091622068,OK,0,13,22,9,23,4,117,2,142,1,-0500,19,22,9,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,1,1,1,abby.cabrera
34622,COPY,doc03462220170523092139,OK,0,39,21,9,23,4,117,2,142,1,-0500,47,21,9,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,2,2,2,
34621,PRINTER,Consent to ente 052317 091336195,OK,0,27,19,9,23,4,117,2,142,1,-0500,35,19,9,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,1,1,1,abby.cabrera
34620,PRINTER,Consent to ente 052317 091220685,OK,0,12,18,9,23,4,117,2,142,1,-0500,19,18,9,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,1,1,1,abby.cabrera
34619,PRINTER,Consent to ente 052317 085526774,OK,0,18,1,9,23,4,117,2,142,1,-0500,24,1,9,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,1,1,1,abby.cabrera
34618,PRINTER,Consent to ente 052317 085452853,OK,0,45,0,9,23,4,117,2,142,1,-0500,51,0,9,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,1,1,1,abby.cabrera
34616,PRINTER,TX-HVAC-170516- 052317 083512318,OK,0,5,41,8,23,4,117,2,142,1,-0500,21,41,8,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,1,1,1,abby.cabrera
34615,PRINTER,Building Permit 052317 082735080,OK,0,28,33,8,23,4,117,2,142,1,-0500,39,33,8,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,2,2,2,george.martinez
34614,COPY,doc03461420170523083140,OK,0,40,31,8,23,4,117,2,142,1,-0500,47,31,8,23,4,117,2,142,1,-0500,1,BLACK_AND_WHITE,2,2,2,
34613,COPY,doc03461320170523082020,OK,0,20,20,8,23,4,117,2,142,1,-0500,28,20,8,23,4,117,2,142,1,-0500,2,BLACK_AND_WHITE,1,1,2,
34611,PRINTER,2012 INTERNATIO 052317 081134346,OK,0,28,17,8,23,4,117,2,142,1,-0500,37,17,8,23,4,117,2,142,1,-0500,1,FULL_COLOR,1,1,1,rogelio.rodriguez
34610,PRINTER,HEALTH.pdf 052317 080931137,OK,0,25,15,8,23,4,117,2,142,1,-0500,52,15,8,23,4,117,2,142,1,-0500,12,MIXED,1,1,12,linda.coronado
34609,COPY,doc03460920170523081504,OK,0,4,15,8,23,4,117,2,142,1,-0500,27,15,8,23,4,117,2,142,1,-0500,4,FULL_COLOR,1,1,4,
34608,PRINTER,2012 INTERNATIO 052317 080818845,OK,0,13,14,8,23,4,117,2,142,1,-0500,23,14,8,23,4,117,2,142,1,-0500,1,FULL_COLOR,1,1,1,rogelio.rodriguez
34607,PRINTER,Monthly Fees Co 052217 170025760,OK,0,14,6,17,22,4,117,1,141,1,-0500,23,6,17,22,4,117,1,141,1,-0500,2,BLACK_AND_WHITE,1,1,2,abby.cabrera
34606,PRINTER,5200559_353_149 052217 165836407,OK,0,25,4,17,22,4,117,1,141,1,-0500,32,4,17,22,4,117,1,141,1,-0500,1,FULL_COLOR,1,1,1,rogelio.rodriguez
34605,PRINTER,5200555_353_149 052217 165819369,OK,0,8,4,17,22,4,117,1,141,1,-0500,17,4,17,22,4,117,1,141,1,-0500,1,FULL_COLOR,1,1,1,rogelio.rodriguez
34604,COPY,doc03460420170522170026,OK,0,26,0,17,22,4,117,1,141,1,-0500,33,0,17,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,2,2,2,
34603,COPY,doc03460320170522170002,OK,0,2,0,17,22,4,117,1,141,1,-0500,10,0,17,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,2,2,2,
34602,COPY,doc03460220170522165907,OK,0,7,59,16,22,4,117,1,141,1,-0500,14,59,16,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,1,1,1,
34601,PRINTER,New Microsoft W 052217 164953429,OK,0,42,55,16,22,4,117,1,141,1,-0500,51,55,16,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,1,1,1,abby.cabrera
34600,PRINTER,New Microsoft W 052217 164858339,OK,0,47,54,16,22,4,117,1,141,1,-0500,54,54,16,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,1,1,1,abby.cabrera
34599,PRINTER,New Microsoft W 052217 164533809,OK,0,23,51,16,22,4,117,1,141,1,-0500,29,51,16,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,1,1,1,abby.cabrera
34598,PRINTER,New Microsoft W 052217 164508216,OK,0,57,50,16,22,4,117,1,141,1,-0500,3,51,16,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,1,1,1,abby.cabrera
34597,PRINTER,New Microsoft W 052217 164428542,OK,0,18,50,16,22,4,117,1,141,1,-0500,25,50,16,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,1,1,1,abby.cabrera
34596,COPY,doc03459620170522164542,OK,0,42,45,16,22,4,117,1,141,1,-0500,50,45,16,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,2,2,2,
34595,COPY,doc03459520170522164419,OK,0,19,44,16,22,4,117,1,141,1,-0500,30,44,16,22,4,117,1,141,1,-0500,3,FULL_COLOR,1,1,3,
34594,PRINTER,409 W CLARK ST PHARR WINDSTORM.pdf,OK,0,26,39,16,22,4,117,1,141,1,-0500,39,39,16,22,4,117,1,141,1,-0500,2,BLACK_AND_WHITE,1,1,2,anaisa.licerio
34593,COPY,doc03459320170522162959,OK,0,59,29,16,22,4,117,1,141,1,-0500,8,30,16,22,4,117,1,141,1,-0500,1,FULL_COLOR,1,1,1,
34591,COPY,doc03459120170522161932,OK,0,32,19,16,22,4,117,1,141,1,-0500,43,19,16,22,4,117,1,141,1,-0500,2,BLACK_AND_WHITE,1,1,2,
34590,PRINTER,TX-CR-170406-02337-permit.pdf,OK,0,17,18,16,22,4,117,1,141,1,-0500,58,18,16,22,4,117,1,141,1,-0500,2,BLACK_AND_WHITE,2,2,4,anaisa.licerio
34589,PRINTER,Building Permit 052217 153719722,OK,0,11,43,15,22,4,117,1,141,1,-0500,22,43,15,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,2,2,2,george.martinez
34588,PRINTER,REScheck 409 W Clark.PDF,OK,0,59,28,15,22,4,117,1,141,1,-0500,19,29,15,22,4,117,1,141,1,-0500,10,FULL_COLOR,1,1,10,anaisa.licerio
34587,PRINTER,Building Permit 052217 151849981,OK,0,42,24,15,22,4,117,1,141,1,-0500,53,24,15,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,2,2,2,george.martinez
34586,PRINTER,Building Permit 052217 150604761,OK,0,57,11,15,22,4,117,1,141,1,-0500,8,12,15,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,2,2,2,george.martinez
34585,PRINTER,Monthly Fees Co 052217 150227303,OK,0,20,8,15,22,4,117,1,141,1,-0500,28,8,15,22,4,117,1,141,1,-0500,2,BLACK_AND_WHITE,1,1,2,abby.cabrera
34583,COPY,doc03458320170522145753,OK,0,53,57,14,22,4,117,1,141,1,-0500,17,58,14,22,4,117,1,141,1,-0500,13,FULL_COLOR,1,1,13,
34582,COPY,doc03458220170522145342,OK,0,42,53,14,22,4,117,1,141,1,-0500,50,53,14,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,1,1,1,
34581,PRINTER,TX-SP-170504-02969-permit.pdf,OK,0,53,51,14,22,4,117,1,141,1,-0500,1,52,14,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,2,2,2,anaisa.licerio
34580,COPY,doc03458020170522145119,OK,0,19,51,14,22,4,117,1,141,1,-0500,27,51,14,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,1,1,1,
34579,COPY,doc03457920170522144102,OK,0,2,41,14,22,4,117,1,141,1,-0500,10,41,14,22,4,117,1,141,1,-0500,1,FULL_COLOR,1,1,1,
34576,COPY,doc03457620170522143102,OK,0,2,31,14,22,4,117,1,141,1,-0500,9,31,14,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,1,1,1,
34575,COPY,doc03457520170522142855,OK,0,55,28,14,22,4,117,1,141,1,-0500,5,29,14,22,4,117,1,141,1,-0500,2,FULL_COLOR,1,1,2,
34574,COPY,doc03457420170522142828,OK,0,28,28,14,22,4,117,1,141,1,-0500,34,28,14,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,1,1,1,
34573,COPY,doc03457320170522142801,OK,0,1,28,14,22,4,117,1,141,1,-0500,7,28,14,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,1,1,1,
34572,PRINTER,TX-F-170522-03364-permit.pdf,OK,0,25,27,14,22,4,117,1,141,1,-0500,35,27,14,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,2,2,4,anaisa.licerio
34571,PRINTER,4 x 6 in. (2) 052217 140746599,OK,0,47,13,14,22,4,117,1,141,1,-0500,17,14,14,22,4,117,1,141,1,-0500,2,FULL_COLOR,1,1,2,yoli.gonzalez
34570,COPY,doc03457020170522135740,OK,0,40,57,13,22,4,117,1,141,1,-0500,54,57,13,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,3,3,3,
34569,PRINTER,display (32).pdf 052217 134230277,CANCEL,100,13,48,13,22,4,117,1,141,1,-0500,35,57,13,22,4,117,1,141,1,-0500,1,AUTO_COLOR,0,1,0,linda.coronado
34568,COPY,doc03456820170522134810,OK,0,10,48,13,22,4,117,1,141,1,-0500,19,48,13,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,3,3,3,
34567,PRINTER,7204 Sabino Ave 052217 134155020,OK,0,38,47,13,22,4,117,1,141,1,-0500,1,48,13,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,1,1,1,abby.cabrera
34565,PRINTER,OPTION A FLOOR  052217 131905827,OK,0,50,24,13,22,4,117,1,141,1,-0500,58,24,13,22,4,117,1,141,1,-0500,1,FULL_COLOR,1,1,1,linda.coronado
34564,COPY,doc03456420170522131627,OK,0,27,16,13,22,4,117,1,141,1,-0500,35,16,13,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,2,2,2,
34563,COPY,doc03456320170522130532,OK,0,32,5,13,22,4,117,1,141,1,-0500,40,5,13,22,4,117,1,141,1,-0500,1,FULL_COLOR,1,1,1,
34562,PRINTER,TX-GS-170522-03374-permit.pdf,OK,0,49,57,12,22,4,117,1,141,1,-0500,56,57,12,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,1,1,1,anaisa.licerio
34561,COPY,doc03456120170522124443,OK,0,43,44,12,22,4,117,1,141,1,-0500,53,44,12,22,4,117,1,141,1,-0500,2,FULL_COLOR,1,1,2,
34560,COPY,doc03456020170522123749,OK,0,49,37,12,22,4,117,1,141,1,-0500,57,37,12,22,4,117,1,141,1,-0500,1,FULL_COLOR,1,1,1,
34559,PRINTER,TX-STRG-170522-03366-permit.pdf,OK,0,32,35,12,22,4,117,1,141,1,-0500,43,35,12,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,2,2,2,anaisa.licerio
34558,PRINTER,Building Permit 052217 121921357,OK,0,7,25,12,22,4,117,1,141,1,-0500,28,25,12,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,2,2,2,george.martinez
34557,PRINTER,TX-HOME-170301-01271-permit.pdf,OK,0,4,25,12,22,4,117,1,141,1,-0500,15,25,12,22,4,117,1,141,1,-0500,2,BLACK_AND_WHITE,2,2,4,anaisa.licerio
34556,PRINTER,PAID HLTH PERMI 052217 120354193,OK,0,40,9,12,22,4,117,1,141,1,-0500,49,9,12,22,4,117,1,141,1,-0500,1,FULL_COLOR,1,1,1,linda.coronado
34555,PRINTER,NEW COMMERCIAL  052217 120007132,OK,0,53,5,12,22,4,117,1,141,1,-0500,14,6,12,22,4,117,1,141,1,-0500,10,MIXED,1,1,10,linda.coronado
34552,COPY,doc03455220170522113154,OK,0,54,31,11,22,4,117,1,141,1,-0500,2,32,11,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,1,1,1,
34551,PRINTER,Building Permit 052217 112204000,OK,0,51,27,11,22,4,117,1,141,1,-0500,3,28,11,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,2,2,2,george.martinez
34550,PRINTER,PS2017052200060 052217 111338786,OK,0,40,19,11,22,4,117,1,141,1,-0500,48,19,11,22,4,117,1,141,1,-0500,2,BLACK_AND_WHITE,1,1,2,yoli.gonzalez
34549,PRINTER,Monthly Fees Co 052217 110027243,OK,0,15,6,11,22,4,117,1,141,1,-0500,24,6,11,22,4,117,1,141,1,-0500,2,BLACK_AND_WHITE,1,1,2,abby.cabrera
34548,COPY,doc03454820170522110438,OK,0,38,4,11,22,4,117,1,141,1,-0500,46,4,11,22,4,117,1,141,1,-0500,2,BLACK_AND_WHITE,1,1,2,
34547,PRINTER,Building Permit 052217 104049519,OK,0,38,46,10,22,4,117,1,141,1,-0500,50,46,10,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,2,2,2,george.martinez
34546,COPY,doc03454620170522103349,OK,0,49,33,10,22,4,117,1,141,1,-0500,2,34,10,22,4,117,1,141,1,-0500,5,FULL_COLOR,1,1,5,
34545,COPY,doc03454520170522103337,CANCEL,100,37,33,10,22,4,117,1,141,1,-0500,43,33,10,22,4,117,1,141,1,-0500,2,BLACK_AND_WHITE,1,1,1,
34544,PRINTER,Microsoft Outlo 052217 102708452,OK,0,58,32,10,22,4,117,1,141,1,-0500,7,33,10,22,4,117,1,141,1,-0500,1,FULL_COLOR,1,1,1,rogelio.rodriguez
34543,COPY,doc03454320170522102837,OK,0,37,28,10,22,4,117,1,141,1,-0500,43,28,10,22,4,117,1,141,1,-0500,1,BLACK_AND_WHITE,1,1,1,
34542,PRINTER,5324955_353_149 052217 101055255,OK,0,45,16,10,22,4,117,1,141,1,-0500,53,16,10,22,4,117,1,141,1,-0500,1,FULL_COLOR,1,1,1,brittany.lanez
34541,PRINTER,5324951_353_149 052217 101048423,OK,0,38,16,10,22,4,117,1,141,1,-0500,47,16,10,22,4,117,1,141,1,-0500,1,FULL_COLOR,1,1,1,brittany.lanez
34540,PRINTER,Inbox [1/395] - 052217 100527863,OK,0,18,11,10,22,4,117,1,141,1,-0500,27,11,10,22,4,117,1,141,1,-0500,1,FULL_COLOR,1,1,1,brittany.lanez
