common/job_number/__text,common/job_kind/__text,common/job_name/__text,common/job_result/__text,common/job_result_detail/__text,common/start_time/second/__text,common/start_time/minute/__text,common/start_time/hour/__text,common/start_time/day/__text,common/start_time/month/__text,common/start_time/year/__text,common/start_time/wday/__text,common/start_time/yday/__text,common/start_time/is_dst/__text,common/start_time/time_zone/__text,common/end_time/second/__text,common/end_time/minute/__text,common/end_time/hour/__text,common/end_time/day/__text,common/end_time/month/__text,common/end_time/year/__text,common/end_time/wday/__text,common/end_time/yday/__text,common/end_time/is_dst/__text,common/end_time/time_zone/__text,common/pages/__text,common/user_name/__text,detail/print_color_mode/__text,detail/complete_copies/__text,detail/copies/__text,detail/complete_pages/__text
54996,PRINTER,Planning.pdf 052417 095359546,OK,0,46,55,9,24,4,117,3,143,1,-0500,20,57,9,24,4,117,3,143,1,-0500,31,roland.gomez,FULL_COLOR,1,1,31
54995,PRINTER,CUP_Zoning.pdf 052417 095236645,OK,0,23,54,9,24,4,117,3,143,1,-0500,31,54,9,24,4,117,3,143,1,-0500,1,rogelio.martinez,FULL_COLOR,1,1,1
54994,PRINTER,CUP_Radius.pdf 052417 095218980,OK,0,5,54,9,24,4,117,3,143,1,-0500,18,54,9,24,4,117,3,143,1,-0500,1,rogelio.martinez,FULL_COLOR,1,1,1
54993,PRINTER,CUP_Aerial.pdf 052417 095214030,OK,0,0,54,9,24,4,117,3,143,1,-0500,17,54,9,24,4,117,3,143,1,-0500,1,rogelio.martinez,FULL_COLOR,1,1,1
54992,PRINTER,Notifications.x 052417 095203990,OK,0,50,53,9,24,4,117,3,143,1,-0500,9,54,9,24,4,117,3,143,1,-0500,2,rogelio.martinez,BLACK_AND_WHITE,1,1,2
54991,PRINTER,Mailing Labels 052417 094434600,OK,0,21,46,9,24,4,117,3,143,1,-0500,45,46,9,24,4,117,3,143,1,-0500,1,alexandra.esparza,BLACK_AND_WHITE,1,1,1
54990,PRINTER,transmittal 052417 094054888,OK,0,41,42,9,24,4,117,3,143,1,-0500,49,42,9,24,4,117,3,143,1,-0500,1,roland.gomez,FULL_COLOR,1,1,1
54989,PRINTER,10100 B R Becke 052417 094013188,OK,0,0,42,9,24,4,117,3,143,1,-0500,39,42,9,24,4,117,3,143,1,-0500,14,della.robles,BLACK_AND_WHITE,1,1,14
54988,PRINTER,Complaint Form  052417 093914141,OK,0,0,41,9,24,4,117,3,143,1,-0500,8,41,9,24,4,117,3,143,1,-0500,1,roland.gomez,FULL_COLOR,1,1,1
54987,PRINTER,Real Estate Sal 052417 093838675,OK,0,25,40,9,24,4,117,3,143,1,-0500,2,41,9,24,4,117,3,143,1,-0500,19,roland.gomez,MIXED,1,1,19
54986,PRINTER,B.R. Becker Ph  052417 093210645,OK,0,57,33,9,24,4,117,3,143,1,-0500,15,34,9,24,4,117,3,143,1,-0500,2,della.robles,FULL_COLOR,1,1,2
54985,PRINTER,Notifications.x 052417 092658778,OK,0,45,28,9,24,4,117,3,143,1,-0500,7,29,9,24,4,117,3,143,1,-0500,2,della.robles,FULL_COLOR,1,1,2
54984,PRINTER,Document1 052417 092618185,OK,0,5,28,9,24,4,117,3,143,1,-0500,12,28,9,24,4,117,3,143,1,-0500,1,roland.gomez,BLACK_AND_WHITE,1,1,1
54983,PRINTER,Hidalgo CAD - P 052417 085257302,OK,0,45,54,8,24,4,117,3,143,1,-0500,54,54,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54982,PRINTER,COZ_Zoning.pdf 052417 084653049,OK,0,41,48,8,24,4,117,3,143,1,-0500,49,48,8,24,4,117,3,143,1,-0500,1,rogelio.martinez,FULL_COLOR,1,1,1
54981,PRINTER,COZ_Radius.pdf 052417 084646834,OK,0,35,48,8,24,4,117,3,143,1,-0500,44,48,8,24,4,117,3,143,1,-0500,1,rogelio.martinez,FULL_COLOR,1,1,1
54980,PRINTER,COZ_Aerial.pdf 052417 084641199,OK,0,29,48,8,24,4,117,3,143,1,-0500,40,48,8,24,4,117,3,143,1,-0500,1,rogelio.martinez,FULL_COLOR,1,1,1
54979,PRINTER,Notifications.x 052417 084625498,OK,0,13,48,8,24,4,117,3,143,1,-0500,23,48,8,24,4,117,3,143,1,-0500,1,rogelio.martinez,BLACK_AND_WHITE,1,1,1
54978,PRINTER,Hidalgo CAD - P 052417 084534157,OK,0,22,47,8,24,4,117,3,143,1,-0500,30,47,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54977,PRINTER,Hidalgo CAD - P 052417 084516949,OK,0,5,47,8,24,4,117,3,143,1,-0500,13,47,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54976,PRINTER,Hidalgo CAD - P 052417 084501558,OK,0,50,46,8,24,4,117,3,143,1,-0500,58,46,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54975,PRINTER,Hidalgo CAD - P 052417 084439992,OK,0,28,46,8,24,4,117,3,143,1,-0500,36,46,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54974,PRINTER,Hidalgo CAD - P 052417 084415273,OK,0,3,46,8,24,4,117,3,143,1,-0500,11,46,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54973,PRINTER,Hidalgo CAD - P 052417 084355969,OK,0,44,45,8,24,4,117,3,143,1,-0500,52,45,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54972,PRINTER,Hidalgo CAD - P 052417 084332696,OK,0,21,45,8,24,4,117,3,143,1,-0500,29,45,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54971,PRINTER,Hidalgo CAD - P 052417 084310983,OK,0,59,44,8,24,4,117,3,143,1,-0500,7,45,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54970,PRINTER,Hidalgo CAD - P 052417 084252616,OK,0,41,44,8,24,4,117,3,143,1,-0500,49,44,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54969,PRINTER,Microsoft Outlo 052417 084240830,OK,0,29,44,8,24,4,117,3,143,1,-0500,36,44,8,24,4,117,3,143,1,-0500,1,maricela.salinas,BLACK_AND_WHITE,1,1,1
54968,COPY,doc05496820170524084221,OK,0,21,42,8,24,4,117,3,143,1,-0500,27,42,8,24,4,117,3,143,1,-0500,1,,BLACK_AND_WHITE,1,1,1
54967,PRINTER,971601_LANDSCAP 052417 083800270,OK,0,48,39,8,24,4,117,3,143,1,-0500,0,40,8,24,4,117,3,143,1,-0500,1,roland.gomez,BLACK_AND_WHITE,1,1,1
54965,PRINTER,971602_LANDSCAP 052417 083724571,OK,0,13,39,8,24,4,117,3,143,1,-0500,28,39,8,24,4,117,3,143,1,-0500,1,roland.gomez,BLACK_AND_WHITE,1,1,1
54966,COPY,doc05496620170524083914,OK,0,14,39,8,24,4,117,3,143,1,-0500,23,39,8,24,4,117,3,143,1,-0500,1,,BLACK_AND_WHITE,1,1,1
54964,PRINTER,Hidalgo CAD - P 052417 083332669,OK,0,20,35,8,24,4,117,3,143,1,-0500,28,35,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54963,PRINTER,Hidalgo CAD - P 052417 083315846,OK,0,3,35,8,24,4,117,3,143,1,-0500,11,35,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54962,PRINTER,Hidalgo CAD - P 052417 083300446,OK,0,48,34,8,24,4,117,3,143,1,-0500,56,34,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54961,PRINTER,Hidalgo CAD - P 052417 083245831,OK,0,33,34,8,24,4,117,3,143,1,-0500,44,34,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54960,PRINTER,Hidalgo CAD - P 052417 083229836,OK,0,17,34,8,24,4,117,3,143,1,-0500,27,34,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54959,PRINTER,Carson Map Comp 052417 083219697,OK,0,8,34,8,24,4,117,3,143,1,-0500,23,34,8,24,4,117,3,143,1,-0500,2,maria.garcia,FULL_COLOR,1,1,2
54958,PRINTER,490094.pdf 052417 083147403,OK,0,35,33,8,24,4,117,3,143,1,-0500,17,34,8,24,4,117,3,143,1,-0500,1,maria.garcia,FULL_COLOR,1,1,1
54957,PRINTER,Hidalgo CAD - P 052417 083010141,OK,0,58,31,8,24,4,117,3,143,1,-0500,30,32,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54956,PRINTER,Hidalgo CAD - P 052417 082934367,OK,0,23,31,8,24,4,117,3,143,1,-0500,31,31,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54955,PRINTER,Hidalgo CAD - P 052417 082918515,OK,0,7,31,8,24,4,117,3,143,1,-0500,22,31,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54954,PRINTER,Hidalgo CAD - P 052417 082837280,OK,0,26,30,8,24,4,117,3,143,1,-0500,41,30,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54953,PRINTER,Hidalgo CAD - P 052417 082817658,OK,0,6,30,8,24,4,117,3,143,1,-0500,14,30,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54952,PRINTER,Hidalgo CAD - P 052417 082801297,OK,0,53,29,8,24,4,117,3,143,1,-0500,1,30,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54951,PRINTER,Hidalgo CAD - P 052417 082743388,OK,0,32,29,8,24,4,117,3,143,1,-0500,0,30,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54950,PRINTER,Hidalgo CAD - P 052417 082601771,OK,0,49,27,8,24,4,117,3,143,1,-0500,57,27,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54949,PRINTER,Microsoft Outlo 052417 082552536,OK,0,40,27,8,24,4,117,3,143,1,-0500,48,27,8,24,4,117,3,143,1,-0500,1,alexandra.esparza,BLACK_AND_WHITE,1,1,1
54948,PRINTER,Hidalgo CAD - P 052417 082544632,OK,0,32,27,8,24,4,117,3,143,1,-0500,40,27,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54947,PRINTER,Hidalgo CAD - P 052417 082519042,OK,0,6,27,8,24,4,117,3,143,1,-0500,31,27,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54946,PRINTER,Hidalgo CAD - P 052417 082502914,OK,0,50,26,8,24,4,117,3,143,1,-0500,30,27,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54945,PRINTER,Hidalgo CAD - P 052417 082435358,OK,0,23,26,8,24,4,117,3,143,1,-0500,33,26,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54944,PRINTER,Hidalgo CAD - P 052417 082414880,OK,0,2,26,8,24,4,117,3,143,1,-0500,13,26,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54943,PRINTER,Hidalgo CAD - P 052417 082354742,OK,0,42,25,8,24,4,117,3,143,1,-0500,53,25,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54942,PRINTER,Hidalgo CAD - P 052417 082334589,OK,0,22,25,8,24,4,117,3,143,1,-0500,43,25,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54941,PRINTER,Hidalgo CAD - P 052417 082314334,OK,0,2,25,8,24,4,117,3,143,1,-0500,42,25,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54940,PRINTER,Hidalgo CAD - P 052417 082254205,OK,0,42,24,8,24,4,117,3,143,1,-0500,50,24,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54939,PRINTER,Hidalgo CAD - P 052417 082233804,OK,0,21,24,8,24,4,117,3,143,1,-0500,41,24,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54938,PRINTER,Hidalgo CAD - P 052417 082212816,OK,0,0,24,8,24,4,117,3,143,1,-0500,40,24,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54937,PRINTER,Hidalgo CAD - P 052417 082145079,OK,0,32,23,8,24,4,117,3,143,1,-0500,41,23,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54936,PRINTER,Hidalgo CAD - P 052417 082125436,OK,0,13,23,8,24,4,117,3,143,1,-0500,37,23,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54935,PRINTER,Hidalgo CAD - P 052417 082110167,OK,0,58,22,8,24,4,117,3,143,1,-0500,36,23,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54934,PRINTER,Hidalgo CAD - P 052417 082051418,OK,0,39,22,8,24,4,117,3,143,1,-0500,47,22,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54933,PRINTER,Hidalgo CAD - P 052417 082030129,OK,0,18,22,8,24,4,117,3,143,1,-0500,30,22,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54932,PRINTER,Hidalgo CAD - P 052417 082013282,OK,0,1,22,8,24,4,117,3,143,1,-0500,28,22,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54931,PRINTER,Hidalgo CAD - P 052417 081957400,OK,0,45,21,8,24,4,117,3,143,1,-0500,27,22,8,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54930,PRINTER,List of Officers 052417 081756068,OK,0,44,19,8,24,4,117,3,143,1,-0500,48,20,8,24,4,117,3,143,1,-0500,1,maria.garcia,FULL_COLOR,1,1,1
54929,PRINTER,Chart.xls 052317 165432348,OK,0,3,56,16,23,4,117,2,142,1,-0500,11,56,16,23,4,117,2,142,1,-0500,2,maricela.salinas,BLACK_AND_WHITE,1,1,2
54926,PRINTER,MEMO_130 WEST S 052317 164638899,OK,0,9,48,16,23,4,117,2,142,1,-0500,18,48,16,23,4,117,2,142,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54925,PRINTER,3900 N Athol #2 052317 164049224,OK,0,20,42,16,23,4,117,2,142,1,-0500,29,42,16,23,4,117,2,142,1,-0500,1,roland.gomez,FULL_COLOR,1,1,1
54924,COPY,doc05492420170523162347,OK,0,47,23,16,23,4,117,2,142,1,-0500,52,23,16,23,4,117,2,142,1,-0500,1,,BLACK_AND_WHITE,1,1,1
54923,PRINTER,ArcReader Docum 052317 161154239,OK,0,26,13,16,23,4,117,2,142,1,-0500,35,13,16,23,4,117,2,142,1,-0500,1,eddie.martinez,FULL_COLOR,1,1,1
54922,PRINTER,Landscaping rep 052317 160803035,OK,0,53,9,16,23,4,117,2,142,1,-0500,48,10,16,23,4,117,2,142,1,-0500,2,roland.gomez,FULL_COLOR,1,1,2
54921,PRINTER,BOOK COVERS_ZON 052317 160801249,OK,0,51,9,16,23,4,117,2,142,1,-0500,38,10,16,23,4,117,2,142,1,-0500,1,alexandra.esparza,FULL_COLOR,1,1,1
54920,PRINTER,600 Anaya #2 052317 160601666,OK,0,49,9,16,23,4,117,2,142,1,-0500,2,10,16,23,4,117,2,142,1,-0500,1,roland.gomez,FULL_COLOR,1,1,1
54919,PRINTER,ArcReader Docum 052317 160458755,OK,0,45,9,16,23,4,117,2,142,1,-0500,0,10,16,23,4,117,2,142,1,-0500,1,eddie.martinez,BLACK_AND_WHITE,1,1,1
54918,PRINTER,2012 INTERNATIO 052317 160458834,OK,0,31,6,16,23,4,117,2,142,1,-0500,59,9,16,23,4,117,2,142,1,-0500,60,alexandra.esparza,FULL_COLOR,1,1,60
54917,PRINTER,O-2014-21 SIGNS 052317 160304015,OK,0,36,4,16,23,4,117,2,142,1,-0500,11,6,16,23,4,117,2,142,1,-0500,29,alexandra.esparza,FULL_COLOR,1,1,29
54916,PRINTER,COZ_Zoning.pdf 052317 155311612,OK,0,44,54,15,23,4,117,2,142,1,-0500,52,54,15,23,4,117,2,142,1,-0500,1,rogelio.martinez,FULL_COLOR,1,1,1
54915,PRINTER,COZ_Radius.pdf 052317 155306965,OK,0,39,54,15,23,4,117,2,142,1,-0500,48,54,15,23,4,117,2,142,1,-0500,1,rogelio.martinez,FULL_COLOR,1,1,1
54914,PRINTER,COZ_Aerial.pdf 052317 155302703,OK,0,35,54,15,23,4,117,2,142,1,-0500,45,54,15,23,4,117,2,142,1,-0500,1,rogelio.martinez,FULL_COLOR,1,1,1
54913,PRINTER,Notifications.x 052317 155222136,OK,0,54,53,15,23,4,117,2,142,1,-0500,3,54,15,23,4,117,2,142,1,-0500,1,rogelio.martinez,BLACK_AND_WHITE,1,1,1
54912,PRINTER,K-P 2.53 acre L 052317 154926953,OK,0,59,50,15,23,4,117,2,142,1,-0500,8,51,15,23,4,117,2,142,1,-0500,1,alexandra.esparza,BLACK_AND_WHITE,1,1,1
54910,PRINTER,0-Address Verif 052317 154726130,OK,0,58,48,15,23,4,117,2,142,1,-0500,9,49,15,23,4,117,2,142,1,-0500,1,rogelio.martinez,BLACK_AND_WHITE,1,1,1
54909,PRINTER,5260103_353_149 052317 153759534,OK,0,32,39,15,23,4,117,2,142,1,-0500,41,39,15,23,4,117,2,142,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54908,PRINTER,5260099_353_149 052317 153748517,OK,0,21,39,15,23,4,117,2,142,1,-0500,30,39,15,23,4,117,2,142,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54907,PRINTER,Notice of Award 052317 153511138,OK,0,44,36,15,23,4,117,2,142,1,-0500,55,36,15,23,4,117,2,142,1,-0500,1,maria.rangel,FULL_COLOR,1,1,1
54905,PRINTER,CC_FINAL_COMMEN 052317 152758518,OK,0,31,29,15,23,4,117,2,142,1,-0500,40,29,15,23,4,117,2,142,1,-0500,1,alexandra.esparza,FULL_COLOR,1,1,1
54904,PRINTER,Notice of Award 052317 152039418,OK,0,13,22,15,23,4,117,2,142,1,-0500,24,22,15,23,4,117,2,142,1,-0500,1,maria.rangel,FULL_COLOR,1,1,1
54903,PRINTER,Notice of Award 052317 151731525,OK,0,5,19,15,23,4,117,2,142,1,-0500,16,19,15,23,4,117,2,142,1,-0500,1,maria.rangel,FULL_COLOR,1,1,1
54902,PRINTER,Landscaping rep 052317 150600896,OK,0,34,7,15,23,4,117,2,142,1,-0500,44,7,15,23,4,117,2,142,1,-0500,2,roland.gomez,FULL_COLOR,1,1,2
54900,PRINTER,CC_FINAL_COMMEN 052317 145906791,OK,0,41,0,15,23,4,117,2,142,1,-0500,50,0,15,23,4,117,2,142,1,-0500,2,alexandra.esparza,MIXED,1,1,2
54899,PRINTER,Microsoft Outlo 052317 145831936,OK,0,6,0,15,23,4,117,2,142,1,-0500,20,0,15,23,4,117,2,142,1,-0500,2,samuel.tooley,MIXED,1,1,2
54898,PRINTER,Notice of Award 052317 145721753,OK,0,56,58,14,23,4,117,2,142,1,-0500,7,59,14,23,4,117,2,142,1,-0500,1,maria.rangel,FULL_COLOR,1,1,1
54897,PRINTER,Growler Sales 052317 144938575,OK,0,13,51,14,23,4,117,2,142,1,-0500,36,51,14,23,4,117,2,142,1,-0500,6,maria.garcia,MIXED,1,1,6
54896,PRINTER,Notice of Award 052317 144935147,OK,0,9,51,14,23,4,117,2,142,1,-0500,21,51,14,23,4,117,2,142,1,-0500,1,maria.rangel,FULL_COLOR,1,1,1
54895,PRINTER,Hidalgo CAD - P 052317 144653084,OK,0,27,48,14,23,4,117,2,142,1,-0500,35,48,14,23,4,117,2,142,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54894,PRINTER,Hidalgo CAD - P 052317 144636646,OK,0,11,48,14,23,4,117,2,142,1,-0500,19,48,14,23,4,117,2,142,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54893,PRINTER,Hidalgo CAD - P 052317 144618343,OK,0,52,47,14,23,4,117,2,142,1,-0500,0,48,14,23,4,117,2,142,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54892,PRINTER,Hidalgo CAD - P 052317 144601568,OK,0,36,47,14,23,4,117,2,142,1,-0500,43,47,14,23,4,117,2,142,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54891,PRINTER,Hidalgo CAD - P 052317 144540634,OK,0,15,47,14,23,4,117,2,142,1,-0500,23,47,14,23,4,117,2,142,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54890,PRINTER,Hidalgo CAD - P 052317 144521457,OK,0,55,46,14,23,4,117,2,142,1,-0500,3,47,14,23,4,117,2,142,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54889,PRINTER,Hidalgo CAD - P 052317 144504743,OK,0,39,46,14,23,4,117,2,142,1,-0500,47,46,14,23,4,117,2,142,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54888,PRINTER,Hidalgo CAD - P 052317 144446145,OK,0,20,46,14,23,4,117,2,142,1,-0500,28,46,14,23,4,117,2,142,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54887,PRINTER,Hidalgo CAD - P 052317 144427219,OK,0,1,46,14,23,4,117,2,142,1,-0500,9,46,14,23,4,117,2,142,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54886,PRINTER,Hidalgo CAD - P 052317 144408163,OK,0,42,45,14,23,4,117,2,142,1,-0500,50,45,14,23,4,117,2,142,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54885,PRINTER,Hidalgo CAD - P 052317 144350603,OK,0,25,45,14,23,4,117,2,142,1,-0500,33,45,14,23,4,117,2,142,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54884,PRINTER,Hidalgo CAD - P 052317 144330988,OK,0,5,45,14,23,4,117,2,142,1,-0500,13,45,14,23,4,117,2,142,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54883,PRINTER,Hidalgo CAD - P 052317 144312150,OK,0,46,44,14,23,4,117,2,142,1,-0500,54,44,14,23,4,117,2,142,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54882,PRINTER,Hidalgo CAD - P 052317 144253877,OK,0,28,44,14,23,4,117,2,142,1,-0500,36,44,14,23,4,117,2,142,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54881,PRINTER,Hidalgo CAD - P 052317 144235422,OK,0,9,44,14,23,4,117,2,142,1,-0500,18,44,14,23,4,117,2,142,1,-0500,1,della.robles,FULL_COLOR,1,1,1
54880,PRINTER,C-5.pdf 052317 143801727,OK,0,36,39,14,23,4,117,2,142,1,-0500,57,39,14,23,4,117,2,142,1,-0500,1,melanie.cano,BLACK_AND_WHITE,1,1,1
54879,PRINTER,C-5.pdf 052317 143630968,OK,0,9,38,14,23,4,117,2,142,1,-0500,25,38,14,23,4,117,2,142,1,-0500,1,melanie.cano,BLACK_AND_WHITE,1,1,1
54878,PRINTER,C-4.pdf 052317 143621455,OK,0,56,37,14,23,4,117,2,142,1,-0500,17,38,14,23,4,117,2,142,1,-0500,1,melanie.cano,BLACK_AND_WHITE,1,1,1
